team_id,event_team_name,formation_final,slot_id,base_pos,merged_pos,dominant_cluster,n_events,touches,passes,pass_acc,avg_pass_len,forward_pass_share,backward_pass_share,passdir_back,passdir_left,passdir_right,passdir_center,prog_passes,final_third_entries,box_entries,long_passes,switches,prog_pass_share,prog_pass_completed_share,final_third_entry_pass_share,box_entry_pass_share,short_pass_share,long_pass_share,switch_pass_share,progression_x_mean,mean_x,mean_y,std_x,std_y,final_third_share,middle_third_share,defensive_third_share,wide_left_share,wide_right_share,central_share,opp_half_event_share,box_touch_share,def_actions,aerials,dribbles,losses,shots,high_def_actions,box_shots,high_def_action_share,def_action_x_mean,box_shot_share,minutes_played,team_events,team_passes,team_def,team_shots,team_touches,event_share_team,pass_share_team,def_share_team,shot_share_team,touch_share_team,mean_y_sym,wide_share,passdir_wide,n_events_p90,touches_p90,passes_p90,def_actions_p90,aerials_p90,dribbles_p90,losses_p90,shots_p90,prog_passes_p90,final_third_entries_p90,box_entries_p90,long_passes_p90,switches_p90,high_def_actions_p90,box_shots_p90,n_obs_dominant,mean_cluster_conf,mean_minutes_played,dominant_cluster_share,dominant_cluster_conf_mean,n_matches,merged_pos_abbr,ui_slot,prototype_key,ui_slot_label
13,Arsenal,4-2-3-1,AMC,AMC,AMC,AMC_C1,70.0,55.0,34.0,0.6764705882352942,17.883308224101505,0.6764705882352942,0.2941176470588235,0.3823529411764705,0.088235294117647,0.1764705882352941,0.3529411764705882,5.0,3.0,1.0,5.0,7.0,0.1470588235294117,0.0588235294117647,0.088235294117647,0.0294117647058823,0.3529411764705882,0.1470588235294117,0.2058823529411764,2.432857142857143,45.79571428571428,45.78428571428572,23.537275005824124,28.34505624003096,0.2285714285714285,0.4142857142857143,0.3571428571428571,0.2571428571428571,0.3857142857142857,0.3571428571428571,0.4428571428571428,0.0428571428571428,21.0,5.0,0.0,2.0,1.0,5.0,1.0,0.238095238095238,40.41428571428571,1.0,84.0,648.0,406.0,102.0,4.0,566.0,0.1080246913580246,0.083743842364532,0.2058823529411764,0.25,0.097173144876325,4.215714285714284,0.6428571428571428,0.2647058823529412,75.0,58.92857142857143,36.42857142857143,22.5,5.357142857142857,0.0,2.142857142857143,1.0714285714285714,5.357142857142857,3.2142857142857144,1.0714285714285714,5.357142857142857,7.5,5.357142857142857,1.0714285714285714,1,0.8159414637103757,84.0,0.5,0.8159414637103757,2,AMC,AMC,13__Arsenal__4-2-3-1__AMC,AMC — AMC_C1
13,Arsenal,4-2-3-1,AML,AML,LEFT_ATTACK_WIDE,LEFT_ATTACK_WIDE_C0,39.0,31.0,21.0,0.6190476190476191,17.99474390135647,0.5238095238095238,0.4761904761904761,0.6190476190476191,0.1904761904761904,0.0476190476190476,0.1428571428571428,1.0,0.0,1.0,5.0,5.0,0.0476190476190476,0.0,0.0,0.0476190476190476,0.3809523809523809,0.238095238095238,0.238095238095238,-0.2897435897435904,42.25128205128205,83.31794871794872,23.99624830100774,17.073893148911846,0.1794871794871795,0.3846153846153846,0.4358974358974359,0.9230769230769232,0.0256410256410256,0.0512820512820512,0.4358974358974359,0.0256410256410256,13.0,1.0,0.0,3.0,0.0,3.0,0.0,0.2307692307692307,30.007692307692302,,67.0,648.0,406.0,102.0,4.0,566.0,0.0601851851851851,0.0517241379310344,0.1274509803921568,0.0,0.0547703180212014,33.317948717948724,0.9487179487179488,0.238095238095238,52.38805970149254,41.64179104477612,28.2089552238806,17.46268656716418,1.3432835820895523,0.0,4.029850746268656,0.0,1.3432835820895523,0.0,1.3432835820895523,6.7164179104477615,6.7164179104477615,4.029850746268656,0.0,1,0.9999996049278222,67.0,0.5,0.9999996049278222,2,LAW,LAW,13__Arsenal__4-2-3-1__AML,LAW — LEFT_ATTACK_WIDE_C0
13,Arsenal,4-2-3-1,AMR,AMR,RIGHT_ATTACK_WIDE,RIGHT_ATTACK_WIDE_C1,20.0,19.0,10.0,0.6,14.023893439457987,0.4,0.6,0.1,0.0,0.4,0.5,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4,0.1,0.1,-0.6099999999999991,69.16,21.025,22.181770609408552,16.163079272804033,0.55,0.4,0.05,0.0,0.85,0.15,0.85,0.3,2.0,0.0,2.0,1.0,0.0,1.0,0.0,0.5,62.1,,36.0,648.0,406.0,102.0,4.0,566.0,0.0308641975308641,0.0246305418719211,0.0196078431372549,0.0,0.0335689045936395,28.975,0.85,0.4,50.0,47.5,25.0,5.0,0.0,5.0,2.5,0.0,0.0,0.0,0.0,2.5,2.5,2.5,0.0,1,0.9738632882988634,36.0,0.5,0.9738632882988634,2,RAW,RAW,13__Arsenal__4-2-3-1__AMR,RAW — RIGHT_ATTACK_WIDE_C1
13,Arsenal,4-2-3-1,DC_1,DC,DC,DC_C0,87.0,76.0,62.0,0.9516129032258064,21.14088701457372,0.8548387096774194,0.1290322580645161,0.3548387096774194,0.1612903225806451,0.0161290322580645,0.4677419354838709,4.0,9.0,0.0,12.0,19.0,0.064516129032258,0.0483870967741935,0.1451612903225806,0.0,0.1129032258064516,0.1935483870967742,0.3064516129032258,4.696551724137931,44.82988505747126,56.401149425287365,20.40624115053067,18.39719072495678,0.1379310344827586,0.5517241379310345,0.3103448275862069,0.3218390804597701,0.0804597701149425,0.5977011494252874,0.4827586206896552,0.0,15.0,5.0,1.0,2.0,0.0,1.0,0.0,0.0666666666666666,28.15333333333333,,101.0,723.0,504.0,94.0,18.0,645.0,0.1203319502074688,0.123015873015873,0.1595744680851064,0.0,0.117829457364341,6.401149425287365,0.4022988505747126,0.1774193548387097,77.52475247524752,67.72277227722772,55.24752475247525,13.366336633663366,4.455445544554456,0.8910891089108911,1.7821782178217822,0.0,3.5643564356435644,8.01980198019802,0.0,10.693069306930694,16.93069306930693,0.8910891089108911,0.0,1,0.9829207914171746,101.0,1.0,0.9829207914171746,1,DC,DC_1,13__Arsenal__4-2-3-1__DC_1,DC_1 — DC_C0
13,Arsenal,4-2-3-1,DC_2,DC,DC,DC_C1,66.0,61.5,52.0,0.8645948945615982,21.725212186396085,0.6344802071772104,0.3655197928227894,0.4065852756196818,0.2482426933037365,0.0294117647058823,0.3157602663706992,8.5,5.5,4.0,12.5,11.0,0.1651868294487606,0.0965593784683684,0.1056233814280429,0.0769515353311135,0.1738808731039585,0.2399186089530151,0.2108768035516093,5.191925465838509,43.486162870945485,68.59772256728778,23.18853696405032,17.898997122092993,0.2142857142857142,0.378191856452726,0.4075224292615597,0.626984126984127,0.0383022774327122,0.3347135955831607,0.4009661835748792,0.0376121463077984,7.5,1.5,0.5,0.0,1.0,1.0,1.0,0.125,26.464285714285715,1.0,81.5,685.5,455.0,98.0,11.0,605.5,0.0963289534347625,0.115387246852764,0.0768669169795577,0.1527777777777777,0.1018407428712301,18.597722567287786,0.6652864044168392,0.2776544580096189,77.15198863636364,71.56960227272728,60.44744318181819,8.806818181818182,1.8607954545454544,0.703125,0.0,1.1576704545454546,8.72159090909091,6.491477272727273,4.630681818181818,14.84375,13.23153409090909,1.40625,1.1576704545454546,2,1.0,81.5,1.0,1.0,2,DC,DC_2,13__Arsenal__4-2-3-1__DC_2,DC_2 — DC_C1
13,Arsenal,4-2-3-1,DL,DL,DL,DL_C0,74.0,69.0,48.0,0.7916666666666666,17.916559248571577,0.6041666666666666,0.375,0.5625,0.2708333333333333,0.0,0.1666666666666666,4.0,3.0,2.0,7.0,7.0,0.0833333333333333,0.0208333333333333,0.0625,0.0416666666666666,0.3541666666666667,0.1458333333333333,0.1458333333333333,1.6891891891891897,40.77567567567568,82.26756756756757,24.314361339451786,12.964821825274942,0.1891891891891892,0.3108108108108108,0.5,0.8513513513513513,0.0,0.1486486486486486,0.3918918918918919,0.0,14.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0714285714285714,27.9,,99.0,648.0,406.0,102.0,4.0,566.0,0.1141975308641975,0.1182266009852216,0.1372549019607843,0.0,0.1219081272084805,32.26756756756757,0.8513513513513513,0.2708333333333333,67.27272727272727,62.72727272727273,43.63636363636363,12.727272727272728,2.727272727272727,0.9090909090909092,0.0,0.0,3.636363636363636,2.727272727272727,1.818181818181818,6.363636363636363,6.363636363636363,0.9090909090909092,0.0,1,0.9942308325872428,99.0,0.5,0.9942308325872428,2,DL,DL,13__Arsenal__4-2-3-1__DL,DL — DL_C0
13,Arsenal,4-2-3-1,DMC_1,DMC,DMC,DMC_C0,90.0,77.0,63.0,0.873015873015873,17.46849247948038,0.6190476190476191,0.365079365079365,0.492063492063492,0.0158730158730158,0.1587301587301587,0.3333333333333333,6.0,4.0,1.0,12.0,9.0,0.0952380952380952,0.0634920634920634,0.0634920634920634,0.0158730158730158,0.3492063492063492,0.1904761904761904,0.1428571428571428,1.5988888888888886,45.52888888888889,43.9911111111111,19.05221237820872,24.083182833271312,0.1777777777777777,0.4666666666666667,0.3555555555555555,0.2111111111111111,0.4,0.3888888888888889,0.4444444444444444,0.0,12.0,4.0,2.0,1.0,1.0,2.0,0.0,0.1666666666666666,42.08333333333334,0.0,99.0,648.0,406.0,102.0,4.0,566.0,0.1388888888888889,0.1551724137931034,0.1176470588235294,0.25,0.1360424028268551,6.008888888888897,0.6111111111111112,0.1746031746031746,81.81818181818181,70.0,57.27272727272727,10.909090909090908,3.636363636363636,1.818181818181818,0.9090909090909092,0.9090909090909092,5.454545454545454,3.636363636363636,0.9090909090909092,10.909090909090908,8.181818181818182,1.818181818181818,0.0,1,0.7490036500161785,99.0,0.5,0.7490036500161785,2,DMC,DMC_1,13__Arsenal__4-2-3-1__DMC_1,DMC_1 — DMC_C0
13,Arsenal,4-2-3-1,DMC_2,DMC,DMC,DMC_C0,77.0,76.0,49.0,0.8571428571428571,20.39153419554643,0.4897959183673469,0.5102040816326531,0.5510204081632653,0.2040816326530612,0.0204081632653061,0.2244897959183673,7.0,6.0,4.0,8.0,10.0,0.1428571428571428,0.0816326530612244,0.1224489795918367,0.0816326530612244,0.2653061224489796,0.1632653061224489,0.2040816326530612,0.5753246753246758,44.14805194805195,58.98051948051947,25.785862152439933,26.33726117200455,0.2077922077922078,0.3116883116883117,0.4805194805194805,0.4155844155844156,0.1428571428571428,0.4415584415584415,0.3896103896103896,0.0259740259740259,11.0,1.0,4.0,1.0,0.0,1.0,0.0,0.0909090909090909,27.1,,99.0,648.0,406.0,102.0,4.0,566.0,0.1188271604938271,0.1206896551724138,0.1078431372549019,0.0,0.1342756183745583,8.980519480519469,0.5584415584415585,0.2244897959183673,70.0,69.0909090909091,44.54545454545455,10.0,0.9090909090909092,3.636363636363636,0.9090909090909092,0.0,6.363636363636363,5.454545454545454,3.636363636363636,7.272727272727272,9.090909090909092,0.9090909090909092,0.0,1,0.8947393764002209,99.0,0.5,0.8947393764002209,2,DMC,DMC_2,13__Arsenal__4-2-3-1__DMC_2,DMC_2 — DMC_C0
13,Arsenal,4-2-3-1,DR,DR,DR,DR_C1,76.5,63.5,55.5,0.8394015861571738,17.36515047045478,0.5508291276135544,0.4360129776496034,0.3316510454217736,0.0131578947368421,0.4107786589762076,0.2444124008651766,6.0,6.5,1.0,6.5,7.5,0.1389689978370583,0.0794881038211968,0.1079668348954578,0.0200072098053352,0.3417447728911319,0.1332011535688536,0.1405912040374909,2.063515680684248,49.415555951532426,17.455773342836775,21.70504193787171,12.5040943219057,0.3129900213827512,0.3594084105488239,0.3276015680684248,0.0081967213114754,0.8827512473271562,0.1090520313613684,0.5278866714183892,0.0326977904490377,12.0,3.5,0.0,0.5,0.0,2.5,0.0,0.2272727272727272,35.07692307692308,,100.0,685.5,455.0,98.0,11.0,605.5,0.1106916909994365,0.1192186644772851,0.1222361284939507,0.0,0.1037513353603418,32.54422665716323,0.8909479686386315,0.4239365537130497,68.71737173717372,57.02520252025202,49.7974797479748,10.81008100810081,3.127812781278128,0.0,0.4545454545454546,0.0,5.427542754275428,5.819081908190819,0.9000900090009001,5.855085508550856,6.737173717371737,2.227722772277228,0.0,2,0.982018607899498,100.0,1.0,0.982018607899498,2,DR,DR,13__Arsenal__4-2-3-1__DR,DR — DR_C1
13,Arsenal,4-2-3-1,FW,FW,FW,FW_C1,73.0,65.0,36.0,0.6944444444444444,12.07281265003346,0.5,0.5,0.25,0.0555555555555555,0.3333333333333333,0.3611111111111111,2.0,6.0,2.0,2.0,2.0,0.0555555555555555,0.0277777777777777,0.1666666666666666,0.0555555555555555,0.5277777777777778,0.0555555555555555,0.0555555555555555,1.5671232876712329,60.81917808219177,35.40821917808219,22.454031174417995,24.339164560577043,0.4246575342465753,0.4383561643835616,0.136986301369863,0.1506849315068493,0.5753424657534246,0.273972602739726,0.7397260273972602,0.1095890410958904,6.0,13.0,2.0,1.0,1.0,2.0,1.0,0.3333333333333333,29.166666666666668,1.0,99.0,648.0,406.0,102.0,4.0,566.0,0.1126543209876543,0.0886699507389162,0.0588235294117647,0.25,0.1148409893992932,14.591780821917808,0.726027397260274,0.3888888888888888,66.36363636363636,59.09090909090909,32.72727272727273,5.454545454545454,11.818181818181818,1.818181818181818,0.9090909090909092,0.9090909090909092,1.818181818181818,5.454545454545454,1.818181818181818,1.818181818181818,1.818181818181818,1.818181818181818,0.9090909090909092,1,0.876953624824552,99.0,0.5,0.876953624824552,2,FW,FW,13__Arsenal__4-2-3-1__FW,FW — FW_C1
